,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
822,Kevin Johnson\JohnKe04,HOU,26,,1,1,0,5,4,80.0%,40,10.0,8.0,2,139.6,5.0,18,22,0,0,0,0.0,0,4,3,42.9%
823,Tony Lippett\LippTo00,NYG,26,,3,0,0,5,2,40.0%,62,31.0,12.4,0,87.1,12.4,39,23,0,0,0,0.0,0,1,0,0.0%
824,Justin March-Lillard\MarcJu00,DAL,25,,16,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,4,0,0.0%
825,Damontre Moore\MoorDa01,OAK,26,,2,0,0,1,1,100.0%,1,1.0,1.0,1,118.7,1.0,1,0,1,0,1,0.0,1,1,0,0.0%
826,Keanu Neal\NealKe01,ATL,23,,1,1,0,2,1,50.0%,7,7.0,3.5,0,58.3,23.0,5,2,0,0,0,0.0,0,2,0,0.0%
827,Will Redmond\RedmWi00,GNB,25,,5,0,0,0,0,,0,,,0,,,0,0,3,0,0,0.0,0,1,0,0.0%
828,Andre Smith\SmitAn04,CAR,21,,3,0,0,1,1,100.0%,6,6.0,6.0,0,91.7,3.0,3,3,0,0,0,0.0,0,3,1,25.0%
829,Josh Sweat\SweaJo00,PHI,21,,9,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,1,0,0.0%
830,Ahmad Thomas\ThomAh00,IND,24,,2,1,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,1,0,0.0%
831,Kayvon Webster\WebsKa00,HOU,27,,2,2,0,1,0,0.0%,0,,0.0,0,39.6,15.0,0,0,0,0,0,0.0,0,1,0,0.0%
832,Olasunkanmi Adeniyi\AdenOl00,PIT,21,,1,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,1,0,0.0%
833,Ryan Delaire\DelaRy00,SFO,26,,2,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,0,
834,Kony Ealy\EalyKo00,OAK,27,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,2,1,33.3%
835,Dominique Hatfield\HatfDo00,LAR,24,,10,0,0,1,0,0.0%,0,,0.0,0,39.6,13.0,0,0,0,0,0,0.0,0,1,0,0.0%
836,Bruce Hector\HectBr00,PHI,24,,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,2,0,0.0%
837,DeAndre Hopkins*+\HopkDe00,HOU,26,WR,16,16,0,1,0,0.0%,0,,0.0,0,39.6,53.0,0,0,0,0,0,0.0,0,0,0,
838,John Jenkins\JenkJo00,NYG,29,,7,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,0,
839,Datone Jones\JoneDa03,DAL,28,,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,0,
840,Bronson Kaufusi\KaufBr01,NYJ,27,,3,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,1,100.0%
841,Mike Love\LoveMi00,BUF,24,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,5,0,0.0%
842,Jamiyus Pittman\PittJa00,MIA,24,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,2,0,0.0%
843,Gabe Wright\WrigGa00,OAK,26,,2,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,1,0,0.0%
